text_id,text_content,text_content_en
41,"你向同事2请教项目问题，试图从他的经验中找到解决方案。在这个知识就是竞争优势的环境里，每一次请教都像是在暴露自己的弱点。但你别无选择——孤独地犯错比谦逊地求助更危险。同事的建议就像黑暗中的手电筒，不一定能照亮全程，但至少能让你看清下一步。","You consult colleague 2 about project issues, trying to find solutions from their experience. In an environment where knowledge is competitive advantage, every consultation feels like exposing your weaknesses. But you have no choice—making mistakes alone is more dangerous than humbly seeking help. A colleague's advice is like a flashlight in darkness, may not illuminate the entire path, but at least shows you the next step."
42,"和同事2进行绩效沟通，这是现代职场最虚伪的仪式之一。你们用专业的术语包装着真实的想法，用礼貌的语言传达着尖锐的批评。每个'建议'都是委婉的指责，每个'期望'都是隐形的威胁。你们互相点头，假装这种对话有意义，实际上都知道真正的评价早已在幕后完成。","Having performance communication with colleague 2, one of the most hypocritical rituals in modern workplace. You wrap real thoughts in professional terminology, convey sharp criticism through polite language. Every 'suggestion' is veiled accusation, every 'expectation' is invisible threat. You nod at each other, pretending this conversation matters, while both knowing the real evaluation was completed behind the scenes."
43,"你向同事2请教技术问题，这种交流有着微妙的权力动态。在程序员的世界里，技术能力就是尊严，而承认不懂就是在交出话语权。你小心翼翼地措辞，试图在显示谦逊的同时不显得无能。每个技术概念都像是密码，只有掌握它们的人才能加入这个看不见的俱乐部。","You ask colleague 2 technical questions, an exchange with subtle power dynamics. In the programmer's world, technical ability equals dignity, and admitting ignorance means surrendering discourse power. You phrase carefully, trying to show humility without appearing incompetent. Each technical concept is like a password—only those who master them can join this invisible club."
44,"与同事2进行技术交流，这是程序员之间最纯粹的对话形式。在这里，社交礼仪被暂时搁置，只有逻辑和效率被讨论。你们就像两个炼金术师交换配方，每个算法都是一种魔法，每个优化都是一次突破。这种交流让你想起了为什么选择这个行业——不是为了钱，而是为了与同类智慧的碰撞。","Having technical exchange with colleague 2, the purest form of dialogue between programmers. Here, social etiquette is temporarily set aside, only logic and efficiency are discussed. You're like two alchemists exchanging formulas, each algorithm a form of magic, each optimization a breakthrough. This exchange reminds you why you chose this industry—not for money, but for the collision of kindred intellects."
45,"你为同事2提供技术指导，这种角色转换让你体验到了权力的微妙快感。突然间，你从求助者变成了施助者，从学生变成了老师。但这种快感带着苦涩——你意识到知识的分享也是一种消耗，每教会别人一点，自己的竞争优势就减少一分。在这个零和游戏的世界里，善良也需要策略。","You provide technical guidance to colleague 2, this role reversal gives you a subtle pleasure of power. Suddenly, you transform from help-seeker to helper, from student to teacher. But this pleasure carries bitterness—you realize knowledge sharing is also consumption; each bit you teach reduces your competitive advantage. In this zero-sum world, even kindness requires strategy."
46,"你和同事2的私下宴请，是现代职场友谊的最高表现形式。在这里，你们暂时脱下职业面具，展现相对真实的自己。酒精是最好的润滑剂，它能让僵硬的同事关系变得柔软。但即使在最放松的时刻，你们都知道这种友谊有着明确的界限——永远不要忘记，明天你们还要回到那个竞争的环境中。","Your private dinner with colleague 2 is the highest form of modern workplace friendship. Here, you temporarily remove professional masks and show relatively authentic selves. Alcohol is the best lubricant, softening rigid colleague relationships. But even in the most relaxed moments, you both know this friendship has clear boundaries—never forget that tomorrow you'll return to that competitive environment."
47,"与同事3私下闲聊，这种看似无意义的对话实际上是职场生存的重要技能。每个玩笑都在测试边界，每个抱怨都在寻找同盟。你们用轻松的语调讨论着沉重的话题，就像用糖衣包裹苦药。这种闲聊是现代人的减压方式——通过分享痛苦来减轻孤独。","Private chat with colleague 3, this seemingly meaningless conversation is actually an important workplace survival skill. Each joke tests boundaries, each complaint seeks alliance. You discuss heavy topics with light tones, like coating bitter medicine with sugar. This chat is modern people's stress relief—reducing loneliness by sharing pain."
48,"和同事3交换公司秘闻，这种信息交易让你们在无形中建立了某种共谋关系。每个秘密都是一枚筹码，每次分享都是一次投资。你们像间谍一样交换情报，虽然目标只是在公司这个小小的生态系统中更好地生存。信息就是货币，而你们正在进行着一场看不见的交易。","Exchanging company secrets with colleague 3, this information trade invisibly builds a kind of complicit relationship. Each secret is a chip, each sharing an investment. You exchange intelligence like spies, though the goal is merely surviving better in the company's small ecosystem. Information is currency, and you're conducting an invisible transaction."
49,"向同事3请教项目问题，这种求助带着复杂的情感。一方面，你需要他的帮助；另一方面，你又担心暴露自己的无知。在程序员的世界里，不懂技术就像不识字一样令人羞耻。但你学会了包装自己的无知——把'不会'说成'想听听不同思路'，把困惑描述成'多角度思考'。","Asking colleague 3 about project issues, this request carries complex emotions. On one hand, you need their help; on the other, you worry about exposing your ignorance. In the programmer's world, not knowing technology is as shameful as illiteracy. But you've learned to package your ignorance—calling 'don't know' as 'wanting different perspectives,' describing confusion as 'multi-angle thinking.'"
50,"与同事3进行绩效沟通，这是一场精心编排的表演。你们都知道真正的评价标准，但必须假装相信官方的说辞。每个反馈都经过精心包装，就像把毒药装在精美的瓶子里。你们互相给出'建设性'的意见，实际上都在为自己的利益盘算。这就是成人世界的游戏规则——永远不要说出真相。","Performance communication with colleague 3 is a carefully orchestrated performance. You both know the real evaluation criteria but must pretend to believe official rhetoric. Each feedback is carefully packaged, like putting poison in beautiful bottles. You give each other 'constructive' opinions while actually calculating for your own interests. These are the adult world's rules—never tell the truth."
